what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691377765
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269691382687
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269691383718
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269691386578
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269691389468
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269691469859
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269691471765
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1269691494406
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269691495828
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269691496531
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269691497031
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269691501390
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1269691523718
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269691524687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691536812
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691537734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691537750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691554421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691561906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691561906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691561906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691585437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691586640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269691657312
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269691695781
